tgl/bln/thn;suhu ;kelembapan (%);curah hujan(mm);tekanan(kPa);kecepatang angin(m/s)
14/06/2021;25.72;91.22;0.4;99.88;0.81
15/06/2021;25.11;92.35;49.21;99.88;0.63
16/06/2021;25.63;86.96;13.39;100.02;0.39
17/06/2021;25.79;90.17;33.38;100.06;0.68
18/06/2021;25.86;88.12;19.02;100.09;0.74
19/06/2021;26.01;86.95;0.14;100.08;0.23
20/06/2021;25.8;87.75;0.08;100.05;0.56
21/06/2021;26.08;83.84;0.82;100.0;0.63
22/06/2021;25.75;86.84;0.82;100.0;0.31
23/06/2021;24.98;89.58;1.06;100.07;1.09
24/06/2021;24.89;90.31;8.91;100.01;0.23
25/06/2021;24.84;92.09;5.75;99.91;0.47
26/06/2021;25.45;91.19;3.13;99.97;0.3
27/06/2021;25.33;90.09;8.19;100.03;0.43
28/06/2021;25.42;89.83;3.53;99.97;0.55
29/06/2021;25.51;89.84;25.77;100.0;0.61
30/06/2021;25.31;90.44;12.36;99.98;0.66
01/07/2021;24.84;91.38;0.1;99.95;1.08
02/07/2021;25.93;85.65;0.02;99.87;0.38
03/07/2021;25.51;90.08;3.26;99.88;0.63
04/07/2021;25.64;90.75;3.71;99.86;0.85
05/07/2021;25.11;89.49;2.11;99.82;0.62
06/07/2021;25.14;88.23;1.35;99.77;0.77
07/07/2021;25.64;87.09;0.26;99.81;0.72
08/07/2021;25.85;87.92;1.54;99.82;0.43
09/07/2021;25.62;91.45;3.3;99.72;0.96
10/07/2021;25.56;91.22;7.49;99.68;0.66
11/07/2021;25.82;90.68;3.5;99.82;0.96
12/07/2021;26.12;88.52;6.61;99.87;0.6
13/07/2021;23.93;92.43;29.58;99.95;1.02
14/07/2021;24.35;86.46;0.01;99.84;1.23
15/07/2021;25.55;84.62;0.0;99.87;0.58
16/07/2021;25.74;88.31;0.0;99.94;0.92
17/07/2021;26.6;85.84;0.0;99.84;0.78
18/07/2021;26.05;89.48;2.15;99.77;1.2
19/07/2021;25.38;90.14;9.59;99.87;0.6
20/07/2021;26.24;85.23;1.88;100.0;0.49
21/07/2021;26.33;84.18;0.03;100.01;0.49
22/07/2021;26.02;86.05;0.0;99.92;0.54
23/07/2021;26.6;84.77;8.17;99.9;0.67
24/07/2021;26.03;87.61;16.42;99.94;0.81
25/07/2021;25.73;88.43;0.0;99.92;0.94
26/07/2021;25.56;87.6;0.0;99.9;1.5
27/07/2021;25.06;86.1;0.0;99.92;1.22
28/07/2021;24.41;87.34;0.0;99.94;1.18
29/07/2021;24.77;88.03;0.32;99.99;1.03
30/07/2021;25.73;88.55;2.09;99.99;0.8
31/07/2021;24.79;92.54;16.08;100.04;0.66
01/08/2021;26.74;82.09;0.45;99.94;0.4
02/08/2021;25.97;86.98;0.82;99.97;0.5
03/08/2021;25.65;91.22;0.94;99.99;0.84
04/08/2021;25.75;92.53;16.29;100.05;0.95
05/08/2021;25.88;88.13;4.73;100.08;0.39
06/08/2021;25.22;91.46;0.18;100.03;1.36
07/08/2021;25.74;89.66;0.14;100.0;1.24
08/08/2021;25.59;93.39;14.33;100.02;0.7
09/08/2021;25.93;92.17;10.68;99.93;0.6
10/08/2021;26.16;88.02;9.64;99.86;0.57
11/08/2021;26.33;88.28;2.78;99.9;1.03
12/08/2021;26.19;87.56;1.98;100.06;1.37
13/08/2021;25.26;89.42;0.27;99.94;0.78
14/08/2021;25.46;90.39;1.99;99.86;1.17
15/08/2021;25.14;92.16;24.41;99.92;1.1
16/08/2021;25.73;89.08;6.82;100.07;0.87
17/08/2021;25.78;86.11;8.53;100.08;0.58
18/08/2021;25.0;89.54;34.4;100.01;0.72
19/08/2021;25.57;83.47;24.32;99.94;0.85
20/08/2021;25.22;88.45;13.03;99.99;0.39
21/08/2021;24.82;90.99;1.6;100.02;1.02
22/08/2021;24.75;91.26;2.72;99.95;0.53
23/08/2021;25.21;90.81;7.01;99.93;0.74
24/08/2021;24.95;91.16;10.22;99.93;1.12
25/08/2021;23.56;89.63;4.17;99.91;0.67
26/08/2021;24.91;87.85;0.05;99.83;1.34
27/08/2021;25.42;88.35;0.02;99.8;1.06
28/08/2021;25.57;86.87;0.17;99.71;1.15
29/08/2021;24.65;92.18;1.9;99.77;1.06
30/08/2021;24.89;90.54;3.04;99.87;0.94
31/08/2021;25.16;90.94;12.76;99.93;0.67
01/09/2021;25.17;89.02;4.38;99.94;0.83
02/09/2021;24.11;92.68;2.64;99.97;0.46
03/09/2021;25.43;85.17;1.1;99.86;0.62
04/09/2021;25.53;88.52;2.3;99.88;0.98
05/09/2021;25.62;88.82;4.41;99.89;0.84
06/09/2021;25.49;89.23;4.76;99.97;0.74
07/09/2021;26.07;86.82;9.14;99.97;1.09
08/09/2021;25.45;85.63;22.27;99.99;0.56
09/09/2021;26.71;80.08;1.42;99.88;0.33
10/09/2021;25.65;90.43;4.98;99.92;1.56
11/09/2021;26.0;87.28;0.14;99.84;1.18
12/09/2021;26.0;88.8;4.27;99.74;0.76
13/09/2021;24.14;93.58;34.6;99.9;1.47
14/09/2021;24.74;85.61;2.1;100.03;0.65
15/09/2021;25.62;88.58;0.01;99.97;0.95
16/09/2021;25.85;90.34;6.45;99.86;1.01
17/09/2021;26.42;88.49;3.13;99.78;1.05
18/09/2021;26.39;89.46;8.15;99.85;1.19
19/09/2021;26.21;88.37;34.1;99.95;1.33
20/09/2021;26.46;85.44;0.36;99.86;0.67
21/09/2021;25.93;88.08;6.44;99.85;0.62
22/09/2021;25.96;89.21;5.34;99.79;1.18
23/09/2021;26.11;90.23;9.47;99.82;1.17
24/09/2021;26.07;90.56;4.63;99.84;1.14
25/09/2021;26.34;89.44;1.79;99.71;0.64
26/09/2021;26.07;92.4;18.25;99.67;0.87
27/09/2021;25.99;89.3;7.73;99.72;0.64
28/09/2021;27.05;84.36;8.67;99.71;0.36
29/09/2021;26.84;89.54;11.03;99.76;0.4
30/09/2021;26.11;87.41;14.7;99.91;1.3
01/10/2021;26.0;82.76;0.34;100.01;0.63
02/10/2021;25.73;85.03;0.04;99.96;0.45
03/10/2021;26.65;82.56;2.28;99.86;0.68
04/10/2021;25.6;88.11;2.83;99.79;0.57
05/10/2021;26.77;84.47;9.28;99.73;0.54
06/10/2021;27.33;82.49;1.3;99.67;0.41
07/10/2021;27.33;82.57;4.95;99.71;0.73
08/10/2021;26.41;87.29;5.71;99.77;0.75
09/10/2021;27.05;86.85;38.37;99.74;0.71
10/10/2021;25.6;91.93;32.73;99.84;0.71
11/10/2021;26.68;80.24;1.05;99.75;0.9
12/10/2021;27.35;82.11;15.14;99.65;0.54
13/10/2021;26.3;89.13;20.45;99.66;0.59
14/10/2021;25.79;89.23;1.69;99.72;0.62
15/10/2021;25.94;85.6;0.43;99.67;0.52
16/10/2021;25.62;88.34;2.02;99.78;0.84
17/10/2021;25.93;88.43;12.22;99.83;0.5
18/10/2021;25.7;90.88;7.98;100.01;0.5
19/10/2021;26.54;84.74;4.47;100.15;0.85
20/10/2021;25.57;94.15;16.08;100.14;1.05
21/10/2021;25.93;90.62;9.01;100.05;0.61
22/10/2021;26.08;88.66;3.01;100.06;0.45
23/10/2021;26.21;88.16;7.74;100.04;0.45
24/10/2021;26.9;86.13;7.15;99.94;0.52
25/10/2021;27.07;86.9;3.22;99.8;0.58
26/10/2021;27.08;83.06;1.66;99.77;0.54
27/10/2021;26.46;87.33;5.84;99.87;0.79
28/10/2021;25.15;90.6;1.36;99.95;1.07
29/10/2021;25.91;87.52;0.13;99.98;0.94
30/10/2021;26.29;90.59;19.51;99.98;0.8
31/10/2021;26.01;91.96;17.94;99.96;0.74
01/11/2021;26.22;89.74;11.62;99.94;0.69
02/11/2021;26.15;88.61;9.16;99.91;0.45
03/11/2021;25.9;90.18;2.8;99.86;1.04
04/11/2021;26.2;90.1;2.2;99.85;0.57
05/11/2021;25.12;93.24;5.36;99.8;1.2
06/11/2021;26.2;87.22;6.33;99.63;0.45
07/11/2021;25.76;89.58;10.75;99.68;0.82
08/11/2021;26.23;87.54;1.79;99.67;0.48
09/11/2021;26.38;89.14;33.34;99.7;0.53
10/11/2021;24.68;92.25;15.5;99.86;0.88
11/11/2021;25.56;85.09;10.92;99.81;0.47
12/11/2021;27.06;82.14;1.82;99.8;0.53
13/11/2021;25.22;91.14;7.64;99.88;0.55
14/11/2021;26.68;82.28;0.31;99.85;0.53
15/11/2021;26.19;83.09;0.51;99.78;0.45
16/11/2021;26.81;76.39;0.96;99.73;0.59
17/11/2021;26.54;84.44;7.57;99.76;0.5
18/11/2021;25.36;90.9;20.16;99.7;0.67
19/11/2021;25.85;88.27;18.2;99.64;0.69
20/11/2021;25.81;87.54;1.29;99.67;0.93
21/11/2021;27.01;84.0;28.43;99.75;0.24
22/11/2021;26.23;88.97;7.63;99.76;0.71
23/11/2021;25.85;87.3;18.73;99.78;0.44
24/11/2021;26.11;83.73;5.49;99.83;0.47
25/11/2021;25.91;88.31;9.63;99.8;0.41
26/11/2021;25.64;87.62;10.81;99.82;1.13
27/11/2021;26.54;83.24;1.48;99.86;1.07
28/11/2021;26.71;82.69;1.92;99.8;0.64
29/11/2021;25.54;83.9;1.98;99.79;0.96
30/11/2021;24.91;83.14;0.53;99.81;0.91
01/12/2021;26.64;77.48;1.3;99.81;0.65
02/12/2021;25.25;87.23;2.58;99.94;0.49
03/12/2021;25.21;90.14;2.43;100.01;0.93
04/12/2021;25.01;93.05;6.56;100.06;1.45
05/12/2021;25.24;87.19;4.26;100.02;0.77
06/12/2021;25.87;86.35;0.4;99.89;1.25
07/12/2021;26.0;89.39;0.84;99.94;1.1
08/12/2021;25.71;92.23;1.54;99.94;1.41
09/12/2021;24.95;93.92;13.79;99.98;0.84
10/12/2021;25.26;91.89;24.86;99.97;1.51
11/12/2021;25.2;91.45;13.37;100.0;0.88
12/12/2021;25.24;91.47;6.23;99.96;0.7
13/12/2021;25.76;90.97;2.73;99.84;0.92
14/12/2021;26.02;90.08;4.47;99.74;1.0
15/12/2021;25.78;92.6;20.83;99.75;0.71
16/12/2021;25.86;91.64;7.72;99.77;0.34
17/12/2021;25.83;91.64;37.12;99.77;1.06
18/12/2021;26.16;89.34;12.38;99.79;0.37
19/12/2021;26.32;90.03;7.68;99.88;0.84
20/12/2021;25.2;92.69;2.32;100.01;0.97
21/12/2021;26.19;85.28;0.05;99.99;0.56
22/12/2021;26.95;86.26;2.79;99.95;0.4
23/12/2021;25.86;87.82;2.25;99.89;0.77
24/12/2021;26.08;89.05;3.79;99.85;0.77
25/12/2021;25.16;94.12;14.46;99.9;1.14
26/12/2021;25.15;93.0;14.14;100.01;1.31
27/12/2021;24.87;94.07;12.33;100.03;1.16
28/12/2021;25.55;91.22;2.23;99.96;0.87
29/12/2021;25.92;87.42;0.36;99.94;0.95
30/12/2021;26.86;86.46;1.75;99.89;0.72
31/12/2021;26.35;90.91;13.02;99.9;1.52
01/01/2022;24.81;93.47;11.39;100.0;0.92
02/01/2022;25.35;89.32;2.26;99.91;0.83
03/01/2022;26.24;86.28;0.11;99.86;0.33
04/01/2022;26.37;87.9;0.11;99.94;0.75
05/01/2022;26.69;87.78;0.12;99.9;1.01
06/01/2022;25.71;92.2;18.98;99.97;0.38
07/01/2022;26.32;87.65;9.88;100.02;0.58
08/01/2022;26.13;89.84;0.29;99.95;0.99
09/01/2022;26.13;88.83;3.21;99.87;0.66
10/01/2022;26.02;90.29;8.48;99.9;1.25
11/01/2022;25.8;89.07;4.51;100.0;0.93
12/01/2022;25.74;88.38;0.71;100.02;1.23
13/01/2022;25.64;88.56;3.38;100.01;1.37
14/01/2022;25.42;89.3;6.38;100.01;1.3
15/01/2022;25.5;88.21;1.88;100.0;1.31
16/01/2022;25.79;88.62;0.1;99.96;1.17
17/01/2022;25.75;90.49;1.37;99.91;0.92
18/01/2022;24.58;95.38;19.93;99.92;0.91
19/01/2022;24.28;93.69;28.26;99.93;0.91
20/01/2022;25.59;86.95;6.47;99.87;0.88
21/01/2022;26.02;88.06;4.32;99.84;0.86
22/01/2022;25.7;90.47;4.73;99.8;1.19
23/01/2022;26.2;88.35;0.87;99.75;0.39
24/01/2022;25.09;92.63;5.65;99.8;0.51
25/01/2022;25.78;89.28;12.38;99.76;0.73
26/01/2022;25.57;90.45;22.84;99.8;1.51
27/01/2022;25.92;87.46;0.0;99.84;0.6
28/01/2022;26.15;86.66;0.0;99.88;0.64
29/01/2022;26.4;86.85;0.17;99.84;0.67
30/01/2022;26.44;89.4;17.56;99.8;1.1
31/01/2022;25.74;92.29;8.86;99.82;0.83
01/02/2022;25.71;89.8;7.78;99.82;0.83
02/02/2022;25.18;88.39;5.22;99.93;0.78
03/02/2022;25.39;88.9;1.71;99.83;0.85
04/02/2022;25.58;91.4;7.15;99.75;1.01
05/02/2022;24.78;94.57;16.88;99.86;0.98
06/02/2022;24.43;92.33;9.98;99.97;1.38
07/02/2022;24.8;89.32;0.33;99.86;1.62
08/02/2022;25.19;90.29;4.02;99.89;0.99
09/02/2022;24.17;90.77;2.65;99.96;0.95
10/02/2022;23.36;89.92;0.21;99.9;0.99
11/02/2022;25.21;87.6;0.15;99.77;0.71
12/02/2022;26.19;86.01;0.01;99.61;0.92
13/02/2022;26.07;88.62;0.06;99.53;0.54
14/02/2022;25.67;87.81;2.16;99.62;0.71
15/02/2022;25.69;88.48;11.71;99.7;0.82
16/02/2022;26.17;87.4;22.67;99.59;0.37
17/02/2022;25.52;87.24;0.69;99.61;0.65
18/02/2022;26.58;84.68;0.8;99.71;0.68
19/02/2022;26.17;90.07;1.04;99.83;0.61
20/02/2022;26.32;85.06;0.13;99.84;0.52
21/02/2022;26.16;86.63;9.68;99.85;0.92
22/02/2022;26.04;89.31;6.48;99.92;0.41
23/02/2022;25.08;90.97;26.62;100.07;1.11
24/02/2022;24.81;89.21;4.05;100.02;1.04
25/02/2022;26.37;80.53;3.98;99.91;0.72
26/02/2022;26.37;82.54;34.52;99.87;0.43
27/02/2022;26.15;85.83;17.61;99.91;0.94
28/02/2022;25.53;92.58;33.96;99.91;0.69
01/03/2022;25.62;90.04;17.44;99.92;0.73
02/03/2022;25.77;87.82;2.33;99.89;0.65
03/03/2022;25.49;90.01;5.12;99.86;1.11
04/03/2022;25.79;88.65;3.77;99.82;1.02
05/03/2022;25.08;91.82;18.57;99.83;0.63
06/03/2022;25.12;90.44;23.08;99.82;0.69
07/03/2022;25.98;89.05;14.67;99.79;0.58
08/03/2022;25.62;88.92;10.03;99.76;0.49
09/03/2022;25.1;91.7;25.34;99.76;0.82
10/03/2022;26.18;87.85;10.3;99.72;0.68
11/03/2022;26.42;88.12;1.68;99.63;0.71
12/03/2022;26.05;90.79;12.1;99.57;0.98
13/03/2022;26.25;89.3;1.65;99.59;0.84
14/03/2022;25.71;92.59;6.07;99.7;0.49
15/03/2022;26.19;88.61;22.13;99.6;0.67
16/03/2022;26.21;90.87;17.11;99.61;0.49
17/03/2022;26.08;90.61;10.31;99.65;0.42
18/03/2022;26.61;87.96;14.15;99.65;1.3
19/03/2022;27.05;85.9;2.64;99.6;0.65
20/03/2022;26.12;86.34;1.51;99.76;0.67
21/03/2022;25.92;78.21;0.06;99.83;0.8
22/03/2022;26.4;81.26;3.86;99.85;0.58
23/03/2022;27.39;82.33;2.54;99.81;0.44
24/03/2022;27.38;83.73;0.0;99.74;0.33
25/03/2022;26.42;90.55;5.79;99.87;0.72
26/03/2022;26.49;87.94;1.36;99.95;0.45
27/03/2022;26.42;86.73;0.0;99.92;0.2
28/03/2022;26.65;86.11;0.0;99.84;0.57
29/03/2022;26.43;88.17;0.0;99.82;0.66
30/03/2022;26.26;89.6;0.39;99.8;0.68
31/03/2022;26.28;86.67;14.63;99.89;0.32
01/04/2022;26.75;83.68;4.72;99.89;0.33
02/04/2022;26.73;86.39;2.01;99.88;0.72
03/04/2022;26.36;86.27;0.53;99.87;1.33
04/04/2022;26.1;85.88;5.12;99.94;0.39
05/04/2022;26.29;88.36;5.84;99.99;0.75
06/04/2022;26.02;88.92;12.34;99.96;0.29
07/04/2022;25.57;86.75;21.34;100.03;1.0
08/04/2022;26.54;83.17;3.45;99.89;0.45
09/04/2022;25.37;87.46;18.6;99.86;0.67
10/04/2022;26.86;80.7;0.33;99.82;0.52
11/04/2022;26.16;88.75;17.06;99.81;0.72
12/04/2022;26.22;88.21;4.11;99.73;0.39
13/04/2022;26.84;86.44;0.48;99.67;0.52
14/04/2022;25.98;89.71;2.19;99.69;1.03
15/04/2022;26.76;86.06;6.77;99.71;0.59
16/04/2022;26.8;87.99;1.15;99.69;0.8
17/04/2022;26.9;89.2;1.79;99.6;0.46
18/04/2022;26.52;90.99;13.4;99.76;0.3
19/04/2022;26.11;90.39;9.12;99.85;0.32
20/04/2022;25.89;92.43;14.14;99.82;0.86
21/04/2022;26.12;89.14;0.38;99.78;1.01
22/04/2022;26.52;89.94;7.43;99.77;0.49
23/04/2022;26.55;92.27;10.32;99.72;0.85
24/04/2022;26.96;88.23;9.48;99.69;0.64
25/04/2022;25.47;91.95;22.8;99.74;0.51
26/04/2022;26.12;88.79;0.16;99.69;0.39
27/04/2022;26.52;90.9;6.92;99.65;0.75
28/04/2022;26.76;88.49;14.48;99.72;0.37
29/04/2022;27.17;86.08;4.08;99.71;0.55
30/04/2022;27.17;87.23;1.61;99.67;0.34
01/05/2022;26.35;88.23;3.35;99.63;0.56
02/05/2022;26.38;89.54;3.31;99.68;0.94
03/05/2022;25.58;94.24;12.92;99.72;0.65
04/05/2022;25.09;93.82;5.65;99.8;0.66
05/05/2022;26.81;88.16;0.85;99.62;0.46
06/05/2022;26.3;92.08;2.94;99.61;0.95
07/05/2022;26.39;88.86;1.92;99.64;0.75
08/05/2022;26.71;89.78;0.95;99.6;0.7
09/05/2022;26.92;89.87;0.04;99.65;0.49
10/05/2022;27.52;89.53;9.8;99.67;0.48
11/05/2022;27.3;86.43;7.23;99.76;0.58
12/05/2022;27.0;86.29;1.22;99.8;0.64
13/05/2022;27.44;83.79;0.0;99.79;0.59
14/05/2022;27.45;86.43;0.0;99.81;0.42
15/05/2022;26.9;91.01;5.87;99.86;0.8
16/05/2022;27.17;84.73;15.09;99.91;0.47
17/05/2022;26.66;88.14;0.04;99.85;0.88
18/05/2022;26.66;89.37;1.23;99.91;0.51
19/05/2022;26.3;84.69;3.85;99.98;0.66
20/05/2022;25.35;91.77;18.06;99.92;0.84
21/05/2022;25.96;89.5;8.75;99.85;0.41
22/05/2022;26.31;89.03;4.47;99.68;0.45
23/05/2022;26.6;90.1;4.5;99.69;0.58
24/05/2022;26.4;92.34;9.78;99.83;0.34
25/05/2022;25.67;91.99;19.29;100.01;0.91
26/05/2022;25.65;86.89;0.58;99.93;0.8
27/05/2022;26.72;84.9;2.44;99.8;0.7
28/05/2022;26.11;87.05;1.85;99.83;0.57
29/05/2022;26.21;84.23;0.13;99.77;0.46
30/05/2022;26.45;87.12;0.08;99.7;0.56
31/05/2022;26.57;86.57;0.1;99.7;0.75
01/06/2022;26.77;85.37;4.05;99.74;0.41
02/06/2022;25.17;90.6;12.02;99.85;0.41
03/06/2022;25.32;86.98;2.04;99.91;0.48
04/06/2022;25.66;88.86;5.55;99.86;0.28
05/06/2022;25.57;90.05;3.88;99.84;0.4
06/06/2022;25.08;93.22;4.12;99.79;1.06
07/06/2022;25.94;87.68;0.87;99.77;0.69
08/06/2022;25.99;89.38;21.26;99.76;0.8
09/06/2022;25.75;91.34;15.44;99.84;0.32
10/06/2022;26.29;88.42;41.57;99.71;0.3
11/06/2022;26.11;91.12;30.77;99.81;0.59
12/06/2022;25.02;90.32;2.99;99.91;0.57
13/06/2022;25.82;89.11;3.54;99.84;0.24
14/06/2022;25.63;90.9;8.83;99.81;0.43
15/06/2022;25.67;91.82;14.48;99.85;0.24
16/06/2022;25.06;93.75;13.14;99.89;0.64
17/06/2022;24.86;91.77;4.5;99.97;0.7
18/06/2022;25.35;89.91;0.79;99.92;0.72
19/06/2022;25.95;88.82;5.38;99.8;0.75
20/06/2022;25.45;90.75;12.86;99.73;0.44
21/06/2022;24.74;95.02;11.9;99.7;0.6
22/06/2022;25.56;87.77;3.34;99.84;0.49
23/06/2022;24.67;94.05;16.89;99.92;1.06
24/06/2022;25.17;88.97;4.71;99.85;0.93
25/06/2022;24.51;93.91;9.3;99.79;0.62
26/06/2022;25.5;91.33;0.19;99.82;0.49
27/06/2022;26.18;87.19;1.27;99.86;0.49
28/06/2022;26.45;86.85;2.68;99.75;0.57
29/06/2022;25.91;87.2;10.51;99.71;0.84
30/06/2022;25.17;86.81;3.12;99.72;1.21
01/07/2022;25.28;85.42;0.0;99.68;0.73
02/07/2022;25.42;86.06;0.0;99.69;0.76
03/07/2022;25.42;86.65;0.08;99.67;0.53
04/07/2022;26.15;88.85;2.88;99.67;0.36
05/07/2022;25.41;94.54;3.15;99.78;0.35
06/07/2022;25.79;91.87;13.99;99.88;0.7
07/07/2022;26.3;90.25;5.37;99.79;0.85
08/07/2022;25.64;89.83;19.04;99.81;0.8
09/07/2022;25.74;85.53;6.29;99.71;0.73
10/07/2022;25.48;89.25;11.77;99.74;0.69
11/07/2022;25.31;90.13;1.08;99.81;0.76
12/07/2022;25.45;90.16;3.91;99.78;0.55
13/07/2022;25.46;90.82;0.96;99.71;0.9
14/07/2022;25.4;93.32;28.67;99.71;0.9
15/07/2022;25.1;91.7;8.01;99.82;1.08
16/07/2022;24.86;86.51;0.02;99.88;0.7
17/07/2022;25.43;86.94;0.0;99.85;0.58
18/07/2022;26.31;87.11;0.0;99.74;0.64
19/07/2022;26.32;90.51;7.82;99.69;0.61
20/07/2022;26.22;88.82;4.7;99.79;0.65
21/07/2022;25.41;91.83;0.62;99.81;0.86
22/07/2022;25.1;93.74;8.35;99.91;0.9
23/07/2022;25.78;88.65;5.02;99.8;0.76
24/07/2022;25.99;89.92;4.39;99.71;0.47
25/07/2022;26.39;88.34;5.81;99.75;0.61
26/07/2022;25.68;89.98;3.66;99.78;0.34
27/07/2022;26.07;87.63;0.08;99.71;1.13
28/07/2022;25.66;91.5;0.94;99.74;0.84
29/07/2022;26.12;88.74;4.11;99.79;0.43
30/07/2022;25.72;90.94;2.32;99.8;0.99
31/07/2022;25.67;90.52;3.0;99.66;1.29
01/08/2022;25.86;91.18;6.0;99.65;0.48
02/08/2022;25.65;92.83;12.9;99.73;0.51
03/08/2022;25.5;89.69;8.23;99.87;0.3
04/08/2022;25.93;87.49;8.81;99.88;0.58
05/08/2022;25.88;88.0;4.78;99.86;0.51
06/08/2022;26.9;84.09;0.02;99.8;0.23
07/08/2022;26.13;86.05;0.04;99.79;0.51
08/08/2022;26.27;87.14;0.0;99.74;1.06
09/08/2022;26.62;87.43;0.0;99.68;1.18
10/08/2022;25.7;87.06;0.0;99.78;0.89
11/08/2022;25.3;90.21;0.0;99.8;1.0
12/08/2022;25.77;90.95;0.01;99.82;0.71
13/08/2022;25.83;88.65;8.11;99.89;0.33
14/08/2022;26.15;85.36;6.57;99.87;0.4
15/08/2022;26.39;83.56;3.23;99.9;0.64
16/08/2022;26.06;81.59;4.02;99.9;0.39
17/08/2022;25.49;89.75;7.26;99.85;0.69
18/08/2022;25.94;89.13;11.93;99.8;1.08
19/08/2022;25.95;89.33;17.87;99.77;1.22
20/08/2022;25.73;91.83;27.11;99.82;1.0
21/08/2022;25.65;89.89;13.59;99.82;0.87
22/08/2022;26.26;85.99;9.24;99.81;0.5
23/08/2022;25.83;90.23;9.55;99.85;0.84
24/08/2022;25.61;91.54;4.45;99.81;0.9
25/08/2022;25.55;89.62;2.4;99.71;0.58
26/08/2022;26.09;88.5;13.45;99.76;0.72
27/08/2022;24.79;92.05;23.03;99.82;0.45
28/08/2022;25.0;87.53;10.55;99.83;0.5
29/08/2022;25.98;85.39;16.37;99.82;0.52
30/08/2022;25.95;87.6;15.36;99.79;0.66
31/08/2022;26.41;87.38;0.6;99.69;0.46
01/09/2022;26.13;89.36;6.5;99.8;0.49
02/09/2022;25.85;89.4;20.1;99.93;0.57
03/09/2022;26.24;82.22;0.56;99.9;0.59
04/09/2022;25.73;86.87;0.12;99.93;0.5
05/09/2022;25.96;86.61;8.2;99.93;0.47
06/09/2022;26.26;86.62;9.77;99.9;0.36
07/09/2022;24.5;89.29;9.36;100.05;1.42
08/09/2022;25.25;83.28;0.18;100.08;0.97
09/09/2022;25.52;88.81;17.89;100.08;0.54
10/09/2022;24.92;92.11;5.93;100.04;1.08
11/09/2022;25.32;90.43;3.59;99.92;0.68
12/09/2022;25.52;88.18;2.35;99.92;0.6
13/09/2022;24.57;91.45;9.88;100.1;1.2
14/09/2022;25.46;88.38;0.9;100.2;1.05
15/09/2022;25.94;87.62;0.02;100.03;0.56
16/09/2022;25.8;87.51;0.0;99.92;0.82
17/09/2022;25.3;89.93;4.86;99.93;0.56
18/09/2022;24.21;90.47;5.99;100.04;0.75
19/09/2022;25.19;87.7;5.64;100.04;0.63
20/09/2022;25.25;89.32;3.41;99.96;1.03
21/09/2022;25.58;89.72;11.76;99.92;0.99
22/09/2022;26.09;83.78;21.44;99.94;0.32
23/09/2022;25.73;86.29;1.16;99.91;0.5
24/09/2022;25.9;84.44;2.45;99.87;0.36
25/09/2022;26.62;82.36;1.61;99.81;0.43
26/09/2022;26.3;84.84;0.03;99.79;0.52
27/09/2022;26.41;85.18;3.9;99.71;0.57
28/09/2022;25.75;91.17;13.34;99.59;1.16
29/09/2022;25.48;87.2;0.41;99.69;0.32
30/09/2022;26.0;88.0;29.58;99.74;0.67
01/10/2022;26.33;88.9;41.65;99.81;0.64
02/10/2022;25.98;90.02;14.25;99.81;1.11
03/10/2022;26.52;85.88;2.42;99.72;0.7
04/10/2022;25.91;88.88;8.06;99.81;0.99
05/10/2022;25.28;88.65;16.46;99.86;0.6
06/10/2022;25.46;90.48;3.17;99.89;0.68
07/10/2022;25.2;90.19;15.9;99.94;0.48
08/10/2022;25.28;90.58;5.93;99.96;0.47
09/10/2022;25.35;89.28;6.94;100.01;0.56
10/10/2022;25.34;87.6;6.53;100.08;0.34
11/10/2022;25.27;89.64;20.2;100.04;0.44
12/10/2022;25.97;84.06;19.59;99.99;0.58
13/10/2022;25.94;86.78;18.65;99.88;0.48
14/10/2022;26.15;85.92;7.58;99.77;0.41
15/10/2022;25.43;92.52;4.22;99.76;0.67
16/10/2022;25.52;89.96;19.98;99.93;0.47
17/10/2022;26.44;88.14;8.76;99.89;0.5
18/10/2022;26.25;89.58;10.38;99.83;0.71
19/10/2022;26.26;87.54;11.53;99.78;0.69
20/10/2022;26.62;83.18;0.14;99.92;0.7
21/10/2022;26.57;83.73;8.71;99.96;0.42
22/10/2022;25.42;91.12;9.91;99.99;1.17
23/10/2022;25.29;92.37;5.67;99.99;0.94
24/10/2022;26.26;88.98;2.72;99.9;0.92
25/10/2022;25.58;92.13;12.32;99.95;1.03
26/10/2022;26.28;86.49;11.25;99.93;0.92
27/10/2022;26.84;83.46;14.36;99.76;0.84
28/10/2022;27.18;83.54;10.78;99.66;0.37
29/10/2022;27.19;85.7;16.27;99.64;0.42
30/10/2022;27.15;86.59;28.7;99.65;0.55
31/10/2022;26.6;84.57;12.22;99.76;0.85
01/11/2022;26.24;85.92;1.09;99.84;0.53
02/11/2022;26.7;86.71;21.02;99.81;0.64
03/11/2022;26.0;88.55;20.97;99.88;0.73
04/11/2022;26.3;86.93;12.18;99.97;0.25
05/11/2022;25.09;90.45;47.04;100.1;0.42
06/11/2022;25.3;92.41;14.82;100.05;0.4
07/11/2022;25.93;87.91;3.82;99.96;0.69
08/11/2022;25.85;90.28;5.71;99.9;0.54
09/11/2022;25.54;91.92;16.52;99.9;0.68
10/11/2022;25.88;89.9;7.76;99.86;0.7
11/11/2022;26.0;88.18;20.45;99.82;0.53
